frame, x, y, w, h
428, 627.0, 198.0, 60.1875, 65.4375
429, 623.0, 212.625, 58.09375, 57.1875
430, 620.5, 233.25, 53.40625, 58.53125
431, 620.5, 237.5, 55.8125, 68.6875
432, 618.0, 262.0, 53.4375, 63.53125
435, 600.5, 352.5, 58.4375, 56.3125
436, 592.0, 385.25, 54.4375, 57.84375
437, 593.5, 416.0, 55.59375, 51.625
438, 599.5, 448.5, 35.1875, 40.125
439, 594.5, 452.25, 53.46875, 54.53125
440, 595.5, 452.0, 58.40625, 57.375
441, 600.5, 411.0, 53.625, 48.53125
442, 600.5, 410.25, 55.0, 52.65625
443, 595.5, 376.75, 55.78125, 55.21875
445, 579.5, 265.25, 53.96875, 44.15625
446, 579.5, 270.0, 55.46875, 56.5625
447, 583.5, 242.25, 41.96875, 42.65625
448, 582.0, 235.875, 51.0625, 58.75
451, 578.5, 195.125, 55.4375, 52.625
452, 585.0, 171.25, 35.8125, 30.828125
453, 592.0, 169.625, 36.0625, 33.0625
455, 598.5, 145.625, 48.6875, 50.8125
456, 603.5, 146.125, 44.34375, 53.5
457, 605.5, 150.0, 51.28125, 51.25
458, 613.0, 159.0, 44.5625, 54.90625
459, 619.0, 164.875, 55.4375, 51.53125
460, 627.0, 172.5, 49.15625, 49.5
464, 663.0, 222.75, 50.5625, 47.96875
465, 677.0, 243.125, 54.78125, 52.84375
469, 699.0, 342.5, 30.765625, 33.25
470, 696.5, 390.25, 54.28125, 55.0
471, 694.0, 436.5, 53.9375, 55.71875
472, 694.0, 432.75, 51.9375, 46.9375
474, 693.0, 416.5, 58.75, 87.0
475, 694.5, 399.5, 54.09375, 52.28125
476, 706.5, 368.5, 53.78125, 55.6875
477, 711.5, 346.5, 59.125, 76.875
480, 741.5, 290.0, 49.40625, 52.0625
481, 749.5, 273.25, 57.46875, 53.15625
482, 767.0, 260.0, 59.59375, 54.65625
483, 779.0, 257.75, 68.5625, 61.03125
484, 797.0, 254.375, 64.125, 52.46875
485, 808.5, 254.0, 70.1875, 55.0625
486, 823.0, 254.0, 68.9375, 57.375
487, 833.5, 256.25, 63.78125, 56.5625
488, 838.0, 251.25, 57.875, 46.0625
489, 843.0, 251.0, 53.78125, 51.125
490, 844.0, 250.875, 53.90625, 54.8125
492, 842.5, 258.5, 57.5, 58.5625
493, 844.5, 274.5, 50.28125, 42.375
495, 860.0, 319.0, 54.5625, 55.53125
496, 851.0, 354.75, 55.59375, 52.75
499, 865.0, 445.5, 45.875, 57.8125
501, 887.5, 405.25, 57.5, 55.53125
502, 898.0, 389.5, 57.03125, 55.0
503, 899.0, 388.75, 56.84375, 53.40625
507, 936.0, 341.75, 56.9375, 57.71875
508, 931.0, 346.75, 42.65625, 44.96875
509, 928.0, 339.0, 55.625, 46.875
510, 920.5, 329.25, 69.6875, 56.625
511, 915.0, 327.75, 59.71875, 55.28125
512, 913.0, 324.75, 58.0625, 54.3125
513, 912.0, 320.5, 57.4375, 53.0
514, 910.0, 321.5, 64.625, 54.8125
515, 906.0, 324.5, 54.53125, 55.09375
518, 887.5, 363.0, 56.9375, 55.875
519, 883.0, 380.0, 53.9375, 55.53125
520, 873.5, 403.5, 51.6875, 51.84375
521, 874.5, 438.75, 51.1875, 53.1875
522, 873.5, 441.0, 53.21875, 58.28125
523, 869.5, 446.5, 57.125, 50.53125
524, 874.0, 409.5, 52.28125, 49.875
525, 873.5, 386.25, 54.5625, 62.875
527, 871.0, 341.25, 59.3125, 77.6875
529, 875.5, 314.75, 44.8125, 50.25
530, 873.0, 298.75, 42.71875, 43.0625
534, 836.0, 331.25, 52.46875, 39.71875
541, 860.0, 318.5, 51.0, 49.46875
542, 869.0, 332.75, 34.25, 36.84375
543, 867.5, 348.5, 37.4375, 50.15625
544, 865.0, 372.25, 40.71875, 46.90625
547, 875.0, 398.75, 33.71875, 38.625
548, 874.0, 363.0, 48.96875, 51.96875
558, 929.5, 203.125, 58.96875, 56.375
559, 932.0, 198.875, 56.84375, 54.09375
560, 942.5, 198.25, 40.53125, 53.875
561, 940.5, 197.75, 52.8125, 54.375
569, 961.0, 289.25, 56.125, 49.4375
571, 962.0, 332.0, 58.84375, 78.8125
572, 964.5, 351.0, 54.46875, 55.0625
573, 967.0, 387.25, 52.96875, 56.84375
574, 967.0, 424.25, 53.5, 54.84375
575, 970.5, 468.0, 55.65625, 62.65625
578, 962.0, 391.0, 53.59375, 51.78125
579, 951.5, 358.5, 55.71875, 52.28125
580, 941.5, 335.5, 58.875, 66.375
582, 927.0, 295.75, 53.9375, 43.6875
585, 682.0, 324.25, 60.0, 43.34375
615, 685.5, 348.5, 44.90625, 45.875
621, 896.5, 279.5, 55.09375, 50.125
622, 895.0, 294.0, 52.96875, 48.0
624, 901.5, 325.25, 52.75, 77.0
626, 903.0, 366.75, 47.8125, 49.40625
627, 902.5, 404.75, 47.5625, 52.0625
628, 890.5, 453.25, 45.90625, 55.375
657, 783.0, 516.0, 31.609375, 56.125
664, 814.5, 287.0, 54.125, 53.09375
667, 827.0, 227.625, 53.40625, 51.65625
669, 836.0, 181.5, 49.65625, 49.6875
670, 837.0, 166.0, 49.53125, 49.28125
671, 840.0, 155.75, 49.84375, 59.21875
672, 842.0, 148.375, 50.78125, 52.40625
674, 847.0, 132.125, 47.84375, 51.96875
675, 845.5, 129.625, 53.65625, 51.75
676, 848.5, 130.0, 49.0625, 50.46875
677, 850.5, 132.25, 50.78125, 50.90625
678, 851.5, 131.75, 51.40625, 48.21875
680, 856.0, 145.625, 49.375, 51.34375
681, 858.5, 162.625, 51.8125, 44.09375
682, 862.5, 185.125, 51.40625, 44.46875
683, 869.0, 215.375, 53.9375, 54.25
684, 874.5, 249.875, 53.4375, 51.9375
685, 874.5, 246.0, 52.90625, 45.25
686, 877.0, 287.5, 54.78125, 54.15625
687, 878.0, 329.0, 55.9375, 57.625
688, 879.5, 364.75, 56.03125, 54.46875
693, 885.0, 445.0, 57.34375, 56.4375
694, 884.5, 431.5, 56.84375, 63.15625
695, 881.5, 418.5, 56.46875, 66.375
696, 877.0, 404.0, 62.34375, 64.125
697, 869.5, 395.0, 65.0625, 63.75
698, 860.5, 387.5, 68.8125, 59.25
699, 852.5, 383.25, 57.46875, 52.0625
700, 837.0, 377.0, 54.34375, 50.4375
701, 828.5, 369.5, 51.34375, 46.1875
702, 819.0, 371.25, 64.875, 52.15625
703, 812.0, 372.25, 62.9375, 55.40625
704, 807.0, 376.5, 57.125, 55.78125
705, 803.5, 387.0, 56.5, 54.65625
706, 797.0, 397.0, 55.5, 55.84375
714, 783.5, 329.25, 55.375, 50.3125
715, 785.5, 322.0, 62.375, 63.40625
716, 794.0, 316.0, 54.4375, 52.25
717, 796.0, 308.0, 56.9375, 59.1875
718, 803.0, 297.5, 65.5625, 59.40625
720, 833.0, 285.5, 72.8125, 62.6875
721, 846.5, 284.0, 66.125, 57.4375
722, 851.0, 284.75, 59.90625, 55.375
723, 865.5, 286.5, 61.4375, 58.6875
724, 877.5, 290.5, 61.125, 59.71875
725, 886.0, 294.75, 68.5625, 65.9375
726, 898.0, 310.75, 63.84375, 56.4375
727, 906.5, 321.75, 69.25, 70.9375
728, 912.5, 334.25, 58.4375, 62.3125
730, 906.0, 336.5, 56.0, 68.3125
732, 898.5, 240.0, 54.625, 46.0
733, 892.5, 202.75, 56.78125, 46.5625
734, 892.5, 208.5, 56.90625, 56.34375
735, 886.0, 177.25, 56.375, 56.8125
736, 879.0, 145.5, 55.53125, 51.6875
737, 877.0, 127.0625, 59.5625, 64.0
739, 875.0, 90.375, 56.28125, 47.21875
740, 890.5, 63.46875, 54.71875, 46.03125
741, 907.0, 53.625, 54.75, 46.71875
753, 928.5, 121.0625, 47.0625, 47.78125
754, 920.5, 151.625, 54.0, 54.8125
755, 915.0, 184.375, 53.65625, 53.1875
759, 908.5, 255.625, 46.21875, 51.09375
760, 906.0, 239.75, 53.3125, 66.0625
763, 899.5, 190.625, 55.3125, 66.0
764, 896.5, 180.125, 57.53125, 59.4375
765, 892.0, 174.875, 53.78125, 54.40625
766, 889.0, 170.625, 54.21875, 55.28125
767, 886.5, 171.375, 52.90625, 55.21875
768, 885.0, 173.375, 52.875, 54.75
769, 884.5, 178.125, 53.34375, 58.0625
770, 883.0, 187.625, 53.28125, 63.03125
771, 881.0, 198.5, 52.34375, 57.3125
772, 879.0, 211.5, 54.0625, 60.125
783, 920.5, 449.0, 52.65625, 50.09375
785, 929.0, 373.5, 50.84375, 50.78125
790, 938.0, 275.0, 52.5625, 51.875
791, 937.0, 259.5, 50.9375, 48.40625
